date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:58:48	98384/98384	---M--	200	added ('OK')	font/woff	date:Mon,%2023%20Sep%202019%2011:53:56%20GMT	https://theme-land.com/sApp/demo/assets/webfonts/fa-solid-900.woff	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/webfonts/fa-solid-900.woff	(from https://theme-land.com/sApp/demo/assets/css/all.min.css)
11:58:48	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Apr%202020%2004:58:47%20GMT	https://theme-land.com/sApp/demo/assets/webfonts/fa-solid-900.ttf	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/webfonts/fa-solid-900.ttf	(from https://theme-land.com/sApp/demo/assets/css/all.min.css)
11:58:49	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Apr%202020%2004:58:48%20GMT	https://theme-land.com/sApp/demo/assets/webfonts/fa-solid-900.svg	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/webfonts/fa-solid-900.svg	(from https://theme-land.com/sApp/demo/assets/css/all.min.css)
11:58:50	3902/3902	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Jan%202020%2006:37:24%20GMT	https://theme-land.com/sApp/demo/assets/font/Flaticon.eot	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/font/Flaticon.eot	(from https://theme-land.com/sApp/demo/assets/font/flaticon.css)
11:58:51	3902/3902	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2024%20Jan%202020%2006:37:24%20GMT	https://theme-land.com/sApp/demo/assets/font/Flaticon.eot?	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/font/Flaticond41d.eot	(from https://theme-land.com/sApp/demo/assets/font/flaticon.css)
11:58:52	2036/2036	---M--	200	added ('OK')	font/woff2	date:Fri,%2024%20Jan%202020%2006:37:24%20GMT	https://theme-land.com/sApp/demo/assets/font/Flaticon.woff2	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/font/Flaticon.woff2	(from https://theme-land.com/sApp/demo/assets/font/flaticon.css)
11:58:53	2572/2572	---M--	200	added ('OK')	font/woff	date:Fri,%2024%20Jan%202020%2006:37:24%20GMT	https://theme-land.com/sApp/demo/assets/font/Flaticon.woff	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/font/Flaticon.woff	(from https://theme-land.com/sApp/demo/assets/font/flaticon.css)
11:58:54	3724/3724	---M--	200	added ('OK')	font/ttf	date:Fri,%2024%20Jan%202020%2006:37:24%20GMT	https://theme-land.com/sApp/demo/assets/font/Flaticon.ttf	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/font/Flaticon.ttf	(from https://theme-land.com/sApp/demo/assets/font/flaticon.css)
11:58:55	16757/16757	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2024%20Jan%202020%2006:37:24%20GMT	https://theme-land.com/sApp/demo/assets/font/Flaticon.svg	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/font/Flaticon.svg	(from https://theme-land.com/sApp/demo/assets/font/flaticon.css)
11:58:56	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Apr%202020%2004:58:55%20GMT	https://theme-land.com/sApp/demo/assets/css/owl.video.play.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/css/owl.video.play.png	(from https://theme-land.com/sApp/demo/assets/css/owl.carousel.min.css)
11:58:58	58146/58146	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Jan%202020%2005:53:58%20GMT	https://theme-land.com/sApp/demo/assets/img/discover/thumb-3.png	/Users/nguyenminhduc/websites/duc/theme-land.com/sApp/demo/assets/img/discover/thumb-3.png	(from https://theme-land.com/sApp/demo/index-4.html)
